"graph","covariate","IRR","lo","hi","DIC","n_high","n_low"
"knn3","welfare_z",1.00484740066161,0.95160039265532,1.06078733871546,5639.1148520144,83,68
"knn3","fiscal_indep_z",0.871871279230986,0.800243664774141,0.949889774608165,5639.1148520144,83,68
"knn3","fiscal_auto_z",1.07041339156405,0.985307259904052,1.16296300837677,5639.1148520144,83,68
"knn3","sex_ratio_z",1.06050609992666,0.991194856925894,1.13501329120685,5639.1148520144,83,68
"knn3","elderly_rate_z",1.03779181830476,0.952198035979251,1.13103403189908,5639.1148520144,83,68
"knn3","urban_pop_rate_z",0.961895889586685,0.895854424468507,1.03263374409007,5639.1148520144,83,68
"knn3","net_migration_z",1.0090307949756,0.973285226113087,1.04609302014441,5639.1148520144,83,68
"knn3","med_in_z",1.06002406482781,0.973824253063029,1.15462513511952,5639.1148520144,83,68
"knn3","clinic_family_z",0.995351289851947,0.94272581703227,1.05069573014087,5639.1148520144,83,68
"knn3","depression_z",1.01951869606903,0.983585248260611,1.05678116327491,5639.1148520144,83,68
"knn4","(Intercept)",0.0000390377239630944,0.0000374872260358699,0.0000406547762851323,5640.68707186516,83,65
"knn4","oyster_z",1.00540832336747,0.955075686837542,1.05899493954393,5640.68707186516,83,65
"knn4","dairy_farm_z",1.04058074215816,1.00144429746071,1.08116745032284,5640.68707186516,83,65
"knn4","gw_household_z",1.07120963744619,0.996767775983237,1.15015971296273,5640.68707186516,83,65
"knn4","gw_simple_z",1.04639520516358,0.985827390990209,1.11066720238317,5640.68707186516,83,65
"knn4","water_supply_z",1.01998837586506,0.941069381123188,1.10545133112847,5640.68707186516,83,65
"knn4","septic_pop_z",1.00433038230111,0.958053071099874,1.0529882867824,5640.68707186516,83,65
"knn4","ww_facility_z",0.976534353758097,0.920512740096166,1.03609019780596,5640.68707186516,83,65
"knn4","pub_sewage_z",1.01146154422231,0.91606239618039,1.1173512057387,5640.68707186516,83,65
"knn4","test_total_z",0.98586298036528,0.936576361268398,1.03759485152845,5640.68707186516,83,65
"knn4","sewer_repair_z",0.907640076320327,0.826292662001997,0.997022605561781,5640.68707186516,83,65
"knn4","paddy_z",0.960251353257963,0.884512923503283,1.04208219361635,5640.68707186516,83,65
"knn4","forest_z",0.835923559125829,0.757801052255387,0.92322901469093,5640.68707186516,83,65
"knn4","residential_z",1.06464356064989,0.984890354524487,1.15074435913452,5640.68707186516,83,65
"knn4","health_practice_z",0.976370436936225,0.924380432649297,1.03137716221309,5640.68707186516,83,65
"knn4","food_safety_z",1.02450360714008,0.983882807475579,1.06679063038974,5640.68707186516,83,65
"knn4","elderly_alone_z",0.968076146597323,0.914695171008663,1.02445902510888,5640.68707186516,83,65
"knn4","alone_80_84_z",0.961402371184741,0.907054440051434,1.01842319614313,5640.68707186516,83,65
"knn4","welfare_z",1.00401437316111,0.949850685852117,1.06095243487451,5640.68707186516,83,65
"knn4","fiscal_indep_z",0.86869461910749,0.797682040572111,0.945992637175221,5640.68707186516,83,65
"knn4","fiscal_auto_z",1.07376097211588,0.98826307292479,1.16676048619364,5640.68707186516,83,65
"knn4","sex_ratio_z",1.05632911690644,0.987597664035969,1.1300619295704,5640.68707186516,83,65
"knn4","elderly_rate_z",1.03558584008047,0.949537764841546,1.12940331215082,5640.68707186516,83,65
"knn4","urban_pop_rate_z",0.965522988496673,0.898978298772871,1.03681437737762,5640.68707186516,83,65
"knn4","net_migration_z",1.00824637572062,0.972359861725447,1.04545823312946,5640.68707186516,83,65
"knn4","med_in_z",1.06288495427401,0.97523510655722,1.15919190552006,5640.68707186516,83,65
"knn4","clinic_family_z",0.99245476980613,0.939828200809781,1.0478066426539,5640.68707186516,83,65
"knn4","depression_z",1.01967789676869,0.983562892076839,1.05713058114058,5640.68707186516,83,65
"knn5","(Intercept)",0.0000390577771697161,0.0000375024195275101,0.000040680169501884,5642.78408739762,82,62
"knn5","oyster_z",1.00701474169929,0.956090690323766,1.06131229119213,5642.78408739762,82,62
